"","gfs_full","gfs_reduced"
"GC00000433_1",1,1
"GC00000255_1",1,1
"GC00000328_3",1,1
"GC00000607",1,1
"GC00000394_1",1,1
"GC00000518_1",1,1
"GC00000328_1",1,1
"GC00000372_2",1,1
"GC00000076_1",1,1
"GC00000517_2",1,1
"GC00000517_1",1,1
"GC00000550_1",1,1
"GC00000331_1",1,1
"GC00000591",1,1
"GC00000333_1",1,1
"GC00000027_1",1,1
"GC00000588",1,1
"GC00000359_r1_1",1,1
"GC00000354_1",1,1
"GC00000203_1",1,1
"GC00000396_1",1,1
"GC00000396_3",1,1
"GC00000396_2",1,1
"GC00000337_1",1,1
"GC00000291_1",1,1
"GC00000400_2",1,1
"GC00000400_1",1,1
"GC00000558_1",1,1
"GC00000058_1",1,1
"GC00000038_4",1,1
"GC00000038_2",1,1
"GC00000587",1,1
"GC00000005_r1_3",1,1
"GC00000005_r1_2",1,1
"GC00000005_r1_1",1,1
"GC00000586",1,0
"GC00000445_1",1,1
"GC00000619",1,1
"GC00000618",1,1
"GC00000611",1,1
"GC00000610",1,1
"GC00000613",1,1
"GC00000612",1,1
"GC00000615",1,1
"GC00000616",1,1
"GC00000313_1",1,1
"GC00000313_2",1,1
"GC00000012_1",1,1
"GC00000293_1",1,1
"GC00000293_3",1,1
"GC00000293_2",1,1
"GC00000578_2",1,1
"GC00000578_1",1,1
"GC00000411_1",1,1
"GC00000577",1,1
